instant,dteday,season,year,month,holiday,one_of_week,workingday,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,category_days,humidity_category,month_name,last_purchase_date,recency
90,2011-03-31,Musim Panas,2011,3,0,Kamis,1,Hujan Ringan,0.268333,0.257575,91.8333,0.217646,179,1506,1685,weekdays,Lembab,Maret,2011-03-31,641
91,2011-04-01,Musim Panas,2011,4,0,Jumat,1,Mendung,0.3,0.283454,68.625,0.258708,307,1920,2227,weekdays,Lembab,April,2011-04-01,640
92,2011-04-02,Musim Panas,2011,4,0,Sabtu,0,Mendung,0.315,0.315637,65.375,0.197146,898,1354,2252,weekend,Lembab,April,2011-04-02,639
93,2011-04-03,Musim Panas,2011,4,0,Minggu,0,Cerah,0.378333,0.378767,48.0,0.182213,1651,1598,3249,weekend,Ideal,April,2011-04-03,638
94,2011-04-04,Musim Panas,2011,4,0,Senin,1,Cerah,0.573333,0.542929,42.625,0.385571,734,2381,3115,weekdays,Kering,April,2011-04-04,637
95,2011-04-05,Musim Panas,2011,4,0,Selasa,1,Mendung,0.414167,0.39835,64.2083,0.388067,167,1628,1795,weekdays,Ideal,April,2011-04-05,636
96,2011-04-06,Musim Panas,2011,4,0,Rabu,1,Cerah,0.390833,0.387608,47.0833,0.263063,413,2395,2808,weekdays,Ideal,April,2011-04-06,635
97,2011-04-07,Musim Panas,2011,4,0,Kamis,1,Cerah,0.4375,0.433696,60.291700000000006,0.162312,571,2570,3141,weekdays,Ideal,April,2011-04-07,634
98,2011-04-08,Musim Panas,2011,4,0,Jumat,1,Mendung,0.335833,0.324479,83.625,0.226992,172,1299,1471,weekdays,Lembab,April,2011-04-08,633
99,2011-04-09,Musim Panas,2011,4,0,Sabtu,0,Mendung,0.3425,0.341529,87.75,0.133083,879,1576,2455,weekend,Lembab,April,2011-04-09,632
100,2011-04-10,Musim Panas,2011,4,0,Minggu,0,Mendung,0.426667,0.426737,85.75,0.146767,1188,1707,2895,weekend,Lembab,April,2011-04-10,631
101,2011-04-11,Musim Panas,2011,4,0,Senin,1,Mendung,0.595652,0.565217,71.6956,0.324474,855,2493,3348,weekdays,Lembab,April,2011-04-11,630
102,2011-04-12,Musim Panas,2011,4,0,Selasa,1,Mendung,0.5025,0.493054,73.9167,0.274879,257,1777,2034,weekdays,Lembab,April,2011-04-12,629
103,2011-04-13,Musim Panas,2011,4,0,Rabu,1,Mendung,0.4125,0.417283,81.91669999999999,0.250617,209,1953,2162,weekdays,Lembab,April,2011-04-13,628
104,2011-04-14,Musim Panas,2011,4,0,Kamis,1,Cerah,0.4675,0.462742,54.041700000000006,0.1107,529,2738,3267,weekdays,Ideal,April,2011-04-14,627
105,2011-04-15,Musim Panas,2011,4,1,Jumat,0,Cerah,0.446667,0.441913,67.125,0.226375,642,2484,3126,weekdays,Lembab,April,2011-04-15,626
106,2011-04-16,Musim Panas,2011,4,0,Sabtu,0,Hujan Ringan,0.430833,0.425492,88.83330000000001,0.340808,121,674,795,weekend,Lembab,April,2011-04-16,625
107,2011-04-17,Musim Panas,2011,4,0,Minggu,0,Cerah,0.456667,0.445696,47.9583,0.303496,1558,2186,3744,weekend,Ideal,April,2011-04-17,624
108,2011-04-18,Musim Panas,2011,4,0,Senin,1,Cerah,0.5125,0.503146,54.25,0.163567,669,2760,3429,weekdays,Ideal,April,2011-04-18,623
109,2011-04-19,Musim Panas,2011,4,0,Selasa,1,Mendung,0.505833,0.489258,66.5833,0.157971,409,2795,3204,weekdays,Lembab,April,2011-04-19,622
110,2011-04-20,Musim Panas,2011,4,0,Rabu,1,Cerah,0.595,0.564392,61.4167,0.241925,613,3331,3944,weekdays,Ideal,April,2011-04-20,621
111,2011-04-21,Musim Panas,2011,4,0,Kamis,1,Cerah,0.459167,0.453892,40.708299999999994,0.325258,745,3444,4189,weekdays,Kering,April,2011-04-21,620
112,2011-04-22,Musim Panas,2011,4,0,Jumat,1,Mendung,0.336667,0.321954,72.9583,0.219521,177,1506,1683,weekdays,Lembab,April,2011-04-22,619
113,2011-04-23,Musim Panas,2011,4,0,Sabtu,0,Mendung,0.46,0.450121,88.79169999999999,0.230725,1462,2574,4036,weekend,Lembab,April,2011-04-23,618
114,2011-04-24,Musim Panas,2011,4,0,Minggu,0,Mendung,0.581667,0.551763,81.08330000000001,0.192175,1710,2481,4191,weekend,Lembab,April,2011-04-24,617
115,2011-04-25,Musim Panas,2011,4,0,Senin,1,Cerah,0.606667,0.5745,77.6667,0.185333,773,3300,4073,weekdays,Lembab,April,2011-04-25,616
116,2011-04-26,Musim Panas,2011,4,0,Selasa,1,Cerah,0.631667,0.594083,72.9167,0.3265,678,3722,4400,weekdays,Lembab,April,2011-04-26,615
117,2011-04-27,Musim Panas,2011,4,0,Rabu,1,Mendung,0.62,0.575142,83.54169999999999,0.3122,547,3325,3872,weekdays,Lembab,April,2011-04-27,614
118,2011-04-28,Musim Panas,2011,4,0,Kamis,1,Mendung,0.6175,0.578929,70.08330000000001,0.320908,569,3489,4058,weekdays,Lembab,April,2011-04-28,613
119,2011-04-29,Musim Panas,2011,4,0,Jumat,1,Cerah,0.51,0.497463,45.7083,0.240063,878,3717,4595,weekdays,Ideal,April,2011-04-29,612
120,2011-04-30,Musim Panas,2011,4,0,Sabtu,0,Cerah,0.4725,0.464021,50.3333,0.235075,1965,3347,5312,weekend,Ideal,April,2011-04-30,611
121,2011-05-01,Musim Panas,2011,5,0,Minggu,0,Mendung,0.451667,0.448204,76.2083,0.106354,1138,2213,3351,weekend,Lembab,Mei,2011-05-01,610
122,2011-05-02,Musim Panas,2011,5,0,Senin,1,Mendung,0.549167,0.532833,73.0,0.183454,847,3554,4401,weekdays,Lembab,Mei,2011-05-02,609
123,2011-05-03,Musim Panas,2011,5,0,Selasa,1,Mendung,0.616667,0.582079,69.7083,0.342667,603,3848,4451,weekdays,Lembab,Mei,2011-05-03,608
124,2011-05-04,Musim Panas,2011,5,0,Rabu,1,Mendung,0.414167,0.40465,73.70830000000001,0.328996,255,2378,2633,weekdays,Lembab,Mei,2011-05-04,607
125,2011-05-05,Musim Panas,2011,5,0,Kamis,1,Cerah,0.459167,0.441917,44.4167,0.295392,614,3819,4433,weekdays,Kering,Mei,2011-05-05,606
126,2011-05-06,Musim Panas,2011,5,0,Jumat,1,Cerah,0.479167,0.474117,59.0,0.228246,894,3714,4608,weekdays,Ideal,Mei,2011-05-06,605
127,2011-05-07,Musim Panas,2011,5,0,Sabtu,0,Cerah,0.52,0.512621,54.125,0.16045,1612,3102,4714,weekend,Ideal,Mei,2011-05-07,604
128,2011-05-08,Musim Panas,2011,5,0,Minggu,0,Cerah,0.528333,0.518933,63.1667,0.0746375,1401,2932,4333,weekend,Ideal,Mei,2011-05-08,603
129,2011-05-09,Musim Panas,2011,5,0,Senin,1,Cerah,0.5325,0.525246,58.875,0.176,664,3698,4362,weekdays,Ideal,Mei,2011-05-09,602
130,2011-05-10,Musim Panas,2011,5,0,Selasa,1,Cerah,0.5325,0.522721,48.9167,0.115671,694,4109,4803,weekdays,Ideal,Mei,2011-05-10,601
131,2011-05-11,Musim Panas,2011,5,0,Rabu,1,Cerah,0.5425,0.5284,63.29169999999999,0.120642,550,3632,4182,weekdays,Ideal,Mei,2011-05-11,600
132,2011-05-12,Musim Panas,2011,5,0,Kamis,1,Cerah,0.535,0.523363,74.75,0.189667,695,4169,4864,weekdays,Lembab,Mei,2011-05-12,599
133,2011-05-13,Musim Panas,2011,5,0,Jumat,1,Mendung,0.5125,0.4943,86.33330000000001,0.179725,692,3413,4105,weekdays,Lembab,Mei,2011-05-13,598
134,2011-05-14,Musim Panas,2011,5,0,Sabtu,0,Mendung,0.520833,0.500629,92.25,0.13495,902,2507,3409,weekend,Lembab,Mei,2011-05-14,597
135,2011-05-15,Musim Panas,2011,5,0,Minggu,0,Mendung,0.5625,0.536,86.70830000000001,0.152979,1582,2971,4553,weekend,Lembab,Mei,2011-05-15,596
136,2011-05-16,Musim Panas,2011,5,0,Senin,1,Cerah,0.5775,0.550512,78.79169999999999,0.126871,773,3185,3958,weekdays,Lembab,Mei,2011-05-16,595
137,2011-05-17,Musim Panas,2011,5,0,Selasa,1,Mendung,0.561667,0.538529,83.7917,0.277354,678,3445,4123,weekdays,Lembab,Mei,2011-05-17,594
138,2011-05-18,Musim Panas,2011,5,0,Rabu,1,Mendung,0.55,0.527158,87.0,0.201492,536,3319,3855,weekdays,Lembab,Mei,2011-05-18,593
139,2011-05-19,Musim Panas,2011,5,0,Kamis,1,Mendung,0.530833,0.510742,82.9583,0.108213,735,3840,4575,weekdays,Lembab,Mei,2011-05-19,592
140,2011-05-20,Musim Panas,2011,5,0,Jumat,1,Cerah,0.536667,0.529042,71.9583,0.125013,909,4008,4917,weekdays,Lembab,Mei,2011-05-20,591
141,2011-05-21,Musim Panas,2011,5,0,Sabtu,0,Cerah,0.6025,0.571975,62.6667,0.12065,2258,3547,5805,weekend,Ideal,Mei,2011-05-21,590
142,2011-05-22,Musim Panas,2011,5,0,Minggu,0,Cerah,0.604167,0.5745,74.9583,0.148008,1576,3084,4660,weekend,Lembab,Mei,2011-05-22,589
143,2011-05-23,Musim Panas,2011,5,0,Senin,1,Mendung,0.631667,0.590296,81.0,0.233842,836,3438,4274,weekdays,Lembab,Mei,2011-05-23,588
144,2011-05-24,Musim Panas,2011,5,0,Selasa,1,Mendung,0.66,0.604813,74.0833,0.207092,659,3833,4492,weekdays,Lembab,Mei,2011-05-24,587
145,2011-05-25,Musim Panas,2011,5,0,Rabu,1,Cerah,0.660833,0.615542,69.625,0.154233,740,4238,4978,weekdays,Lembab,Mei,2011-05-25,586
146,2011-05-26,Musim Panas,2011,5,0,Kamis,1,Cerah,0.708333,0.654688,67.75,0.199642,758,3919,4677,weekdays,Lembab,Mei,2011-05-26,585
147,2011-05-27,Musim Panas,2011,5,0,Jumat,1,Cerah,0.681667,0.637008,65.375,0.240679,871,3808,4679,weekdays,Lembab,Mei,2011-05-27,584
148,2011-05-28,Musim Panas,2011,5,0,Sabtu,0,Cerah,0.655833,0.612379,72.9583,0.230092,2001,2757,4758,weekend,Lembab,Mei,2011-05-28,583
149,2011-05-29,Musim Panas,2011,5,0,Minggu,0,Cerah,0.6675,0.61555,81.875,0.213938,2355,2433,4788,weekend,Lembab,Mei,2011-05-29,582
150,2011-05-30,Musim Panas,2011,5,1,Senin,0,Cerah,0.733333,0.671092,68.5,0.131225,1549,2549,4098,weekdays,Lembab,Mei,2011-05-30,581
151,2011-05-31,Musim Panas,2011,5,0,Selasa,1,Cerah,0.775,0.725383,63.6667,0.111329,673,3309,3982,weekdays,Ideal,Mei,2011-05-31,580
152,2011-06-01,Musim Panas,2011,6,0,Rabu,1,Mendung,0.764167,0.720967,67.7083,0.207092,513,3461,3974,weekdays,Lembab,Juni,2011-06-01,579
153,2011-06-02,Musim Panas,2011,6,0,Kamis,1,Cerah,0.715,0.643942,30.5,0.292287,736,4232,4968,weekdays,Kering,Juni,2011-06-02,578
154,2011-06-03,Musim Panas,2011,6,0,Jumat,1,Cerah,0.62,0.587133,35.4167,0.253121,898,4414,5312,weekdays,Kering,Juni,2011-06-03,577
155,2011-06-04,Musim Panas,2011,6,0,Sabtu,0,Cerah,0.635,0.594696,45.625,0.123142,1869,3473,5342,weekend,Ideal,Juni,2011-06-04,576
156,2011-06-05,Musim Panas,2011,6,0,Minggu,0,Mendung,0.648333,0.616804,65.25,0.138692,1685,3221,4906,weekend,Lembab,Juni,2011-06-05,575
157,2011-06-06,Musim Panas,2011,6,0,Senin,1,Cerah,0.678333,0.621858,60.0,0.121896,673,3875,4548,weekdays,Ideal,Juni,2011-06-06,574
158,2011-06-07,Musim Panas,2011,6,0,Selasa,1,Cerah,0.7075,0.65595,59.791700000000006,0.187808,763,4070,4833,weekdays,Ideal,Juni,2011-06-07,573
159,2011-06-08,Musim Panas,2011,6,0,Rabu,1,Cerah,0.775833,0.727279,62.20830000000001,0.136817,676,3725,4401,weekdays,Ideal,Juni,2011-06-08,572
160,2011-06-09,Musim Panas,2011,6,0,Kamis,1,Mendung,0.808333,0.757579,56.833299999999994,0.149883,563,3352,3915,weekdays,Ideal,Juni,2011-06-09,571
161,2011-06-10,Musim Panas,2011,6,0,Jumat,1,Cerah,0.755,0.703292,60.5,0.140554,815,3771,4586,weekdays,Ideal,Juni,2011-06-10,570
